instrument,entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lot_size,pnl,exit_reason,balance
EURUSD,2025-01-03 02:00:00,2025-01-03 02:45:00,BUY,1.02679,1.02729,1.0263904285714285,1.027139142857143,0.02,0.9999999999998899,TP,100.99999999999989
XAUUSD,2025-01-06 02:00:00,2025-01-06 03:15:00,BUY,2639.4199999999996,2645.56,2639.4199999999996,2644.622142857143,0.01,6.070000000000327,TP,107.07000000000022
XAUUSD,2025-01-09 08:00:00,2025-01-09 08:45:00,BUY,2659.23,2666.74,2659.23,2665.2678571428573,0.01,7.439999999999763,TP,114.50999999999999
EURUSD,2025-01-10 15:00:00,2025-01-10 15:30:00,SELL,1.0304499999999999,1.02502,1.0309377142857143,1.0299245714285712,0.02,10.859999999999648,TP,125.36999999999964
EURUSD,2025-01-15 03:00:00,2025-01-15 07:45:00,SELL,1.0301799999999999,1.02931,1.0306844285714287,1.0296211428571425,0.02,1.7399999999998528,TP,127.10999999999949
EURUSD,2025-01-15 09:15:00,2025-01-15 10:00:00,BUY,1.02966,1.03127,1.0287297142857144,1.031070571428571,0.01,1.6099999999998893,TP,128.71999999999937
EURUSD,2025-01-16 02:00:00,2025-01-16 02:45:00,BUY,1.0294,1.02988,1.028984142857143,1.0297817142857142,0.02,0.9599999999996278,TP,129.679999999999
EURUSD,2025-01-16 23:00:00,2025-01-17 01:00:00,SELL,1.0297399999999999,1.0303,1.030236142857143,1.029197714285714,0.02,-1.120000000000232,SL,128.55999999999878
EURUSD,2025-01-23 18:00:00,2025-01-23 19:30:00,BUY,1.03993,1.04296,1.03993,1.0423145714285713,0.01,3.030000000000088,TP,131.58999999999887
XAUUSD,2025-01-29 07:00:00,2025-01-29 09:15:00,SELL,2762.53,2758.31,2762.53,2758.35,0.01,4.150000000000254,TP,135.73999999999913
EURUSD,2025-01-31 17:00:00,2025-01-31 17:45:00,BUY,1.03718,1.03963,1.03718,1.0378614285714278,0.02,4.9000000000001265,TP,140.63999999999925
XAUUSD,2025-02-03 01:00:00,2025-02-03 03:00:00,SELL,2802.3100000000004,2785.73,2802.3100000000004,2791.313571428572,0.01,16.51000000000038,TP,157.14999999999964
EURUSD,2025-02-04 06:00:00,2025-02-04 06:45:00,SELL,1.03125,1.0306,1.031678,1.030844,0.03,1.9500000000001185,TP,159.09999999999977
XAUUSD,2025-02-04 03:00:00,2025-02-04 07:00:00,BUY,2817.0299999999997,2816.67,2817.0299999999997,2824.334285714286,0.01,-0.4299999999996726,SL,158.6700000000001
XAUUSD,2025-02-06 03:30:00,2025-02-06 08:45:00,BUY,2869.4199999999996,2859.06,2864.6096428571427,2878.440714285714,0.01,-10.429999999999673,SL,148.24000000000044
EURUSD,2025-02-06 17:00:00,2025-02-06 20:30:00,BUY,1.03723,1.03948,1.03723,1.039230857142857,0.01,2.249999999999863,TP,150.4900000000003
XAUUSD,2025-02-06 22:15:00,2025-02-07 03:15:00,BUY,2854.68,2862.93,2854.68,2862.417142857143,0.01,8.18,TP,158.6700000000003
XAUUSD,2025-02-10 22:15:00,2025-02-11 01:15:00,BUY,2903.52,2912.25,2903.52,2912.2428571428577,0.01,8.660000000000018,TP,167.33000000000033
XAUUSD,2025-02-11 04:30:00,2025-02-11 09:15:00,BUY,2916.5899999999997,2911.05,2916.5899999999997,2932.6928571428575,0.01,-5.609999999999509,SL,161.72000000000082
XAUUSD,2025-02-11 22:00:00,2025-02-12 05:00:00,SELL,2897.98,2888.24,2897.98,2889.820714285714,0.01,9.670000000000236,TP,171.39000000000107
EURUSD,2025-02-13 13:00:00,2025-02-13 13:45:00,SELL,1.04233,1.04031,1.0430211428571428,1.0413977142857147,0.02,4.0399999999998215,TP,175.4300000000009
XAUUSD,2025-02-13 15:00:00,2025-02-13 17:00:00,SELL,2915.27,2918.8,2915.27,2906.6435714285712,0.01,-3.6000000000002,SL,171.8300000000007
EURUSD,2025-02-14 06:15:00,2025-02-14 07:00:00,SELL,1.04582,1.0451,1.0463295714285714,1.0452508571428574,0.02,1.440000000000108,TP,173.2700000000008
XAUUSD,2025-02-14 05:00:00,2025-02-14 07:30:00,SELL,2928.8,2929.77,2928.8,2921.2857142857138,0.01,-1.0399999999998,SL,172.230000000001
XAUUSD,2025-02-18 04:00:00,2025-02-18 05:00:00,BUY,2898.54,2908.65,2898.54,2904.9507142857146,0.01,10.040000000000127,TP,182.27000000000115
EURUSD,2025-02-19 10:00:00,2025-02-19 10:15:00,SELL,1.0452,1.04487,1.045491,1.045068,0.06,1.9799999999996487,TP,184.2500000000008
EURUSD,2025-02-19 15:15:00,2025-02-19 17:45:00,BUY,1.0430700000000002,1.0424,1.0424207142857145,1.0439185714285713,0.02,-1.3400000000003411,SL,182.91000000000045
EURUSD,2025-02-21 15:00:00,2025-02-21 16:45:00,BUY,1.04671,1.04811,1.04671,1.0479931428571425,0.01,1.4000000000000679,TP,184.3100000000005
EURUSD,2025-02-24 18:00:00,2025-02-24 18:30:00,BUY,1.04684,1.0472,1.0465010000000001,1.0470679999999994,0.05,1.7999999999995797,TP,186.1100000000001
XAUUSD,2025-02-25 05:00:00,2025-02-25 05:45:00,SELL,2948.44,2939.61,2948.44,2940.2999999999997,0.01,8.759999999999927,TP,194.87000000000003
EURUSD,2025-02-25 10:45:00,2025-02-25 13:30:00,SELL,1.0468899999999999,1.04858,1.048001857142857,1.0451162857142857,0.01,-1.6900000000001913,SL,193.17999999999984
XAUUSD,2025-02-26 03:45:00,2025-02-26 08:00:00,BUY,2917.8799999999997,2910.5,2912.9389285714283,2927.162142857143,0.01,-7.449999999999655,SL,185.7300000000002
EURUSD,2025-02-26 17:00:00,2025-02-26 17:15:00,BUY,1.0486300000000002,1.04954,1.0482142857142858,1.0490114285714287,0.03,2.729999999999233,TP,188.4599999999994
XAUUSD,2025-02-27 03:15:00,2025-02-27 04:45:00,SELL,2913.48,2906.75,2916.8792857142853,2907.281428571429,0.01,6.660000000000018,TP,195.11999999999944
EURUSD,2025-02-27 15:15:00,2025-02-27 15:30:00,SELL,1.04781,1.04593,1.0485449999999998,1.0467900000000003,0.02,3.7599999999997635,TP,198.8799999999992
EURUSD,2025-02-28 09:15:00,2025-02-28 10:45:00,BUY,1.0389300000000001,1.04011,1.0389300000000001,1.0399379999999998,0.02,2.3599999999999177,TP,201.23999999999913
XAUUSD,2025-02-28 17:45:00,2025-02-28 22:00:00,SELL,2849.96,2853.53,2849.96,2830.737142857143,0.01,-3.6400000000001635,SL,197.59999999999897
